Fases de Investimento,N.. Partic. (1 ) SCR,Valor SCR,% SCR,N.. Partic. (1 ) FCR,Valor FCR,% FCR,N.. Partic. (1 ) Total,Valor Total,% Total
Venture Capital,59,79.9,22.31843575,556,389.2,12.45838668,615,469.1,13.47214245
Seed capital,6,22.8,6.368715084,135,51.1,1.635723431,141,73.9,2.122343481
Start-up,33,55,15.36312849,325,245.2,7.848911652,358,300.2,8.621481907
Early-stage,20,2.1,0.5865921788,96,92.9,2.973751601,116,95,2.728317059
Private Equity,89,278.1,77.68156425,694,2734.8,87.54161332,783,3012.9,86.52785755
Expansao,31,219.2,61.22905028,273,583.3,18.6715749,304,802.5,23.04709937
Capital de substituicao,3,2,0.5586592179,45,162.6,5.204865557,48,164.6,4.727168294
Turnaround,6,2.1,0.5865921788,158,1227.9,39.30537772,164,1230,35.32452613
Refinanciamento da divida bancaria,0,0,0,35,4.7,0.1504481434,35,4.7,0.1349798966
Management buyout,7,3.9,1.089385475,17,25.4,0.8130601793,24,29.3,0.8414704193
Management buyin,0,0,0,8,40.4,1.293213828,8,40.4,1.160252728
Outros,42,50.9,14.21787709,158,690.5,22.10307298,200,741.4,21.29236071
Total,148,358,100,1250,3124,100,1398,3482,100
