,,,,,,,,,,,,
Fase de Investimento,Aquisicoes SCR,Alienacoes SCR,Invest. Liquido SCR,N.. Trans. SCR,Aquisicoes FCR,Alienacoes FCR,Invest. Liquido FCR,N.. Trans. FCR,Aquisicoes Total,Alienacoes Total,Invest. Liquido Total,N.. Trans. Total
Seed capital,0,10.5,-10.5,0,8246.7,1244.4,7002.3,61,8246.7,1254.9,6991.8,61
Start-up,15126.4,4369.7,10756.7,35,55102.9,14400.1,40702.8,111,70229.3,18769.8,51459.5,146
Early-stage,0,119.4,-119.4,1,7833.4,125.8,7707.6,25,7833.4,245.2,7588.2,26
Expansao,2.5,485.8,-483.3,8,35525.6,27518,8007.6,111,35528.1,28003.8,7524.3,119
Capital de substituicao,243.6,4659.5,-4415.9,5,500,19853.6,-19353.6,6,743.6,24513.1,-23769.5,11
Turnaround,0,8.4,-8.4,1,2077.2,3107.6,-1030.4,17,2077.2,3116,-1038.8,18
Refin. da divida bancaria,0,0,0,0,0,0,0,1,0,0,0,1
Management buyout,0,0,0,0,1050,6449.8,-5399.8,8,1050,6449.8,-5399.8,8
Management buyin,0,19524,-19524,2,2125.8,2050.5,75.3,5,2125.8,21574.5,-19448.7,7
Outros,2811.4,452.7,2358.7,14,8614.4,5740,2874.4,58,11425.8,6192.7,5233.1,72
Total,18183.9,29630,-11446.1,66,121076,80489.8,40586.2,403,139259.9,110119.8,29140.1,469
