Capital detido %,N. de participacoes SCR,% Part SCR,% Valor SCR,N. de participacoes FCR,% Part FCR,% Valor FCR,N.. Participacoes Total,% Part Total,% Valor Total 
]0-10],53,45.68965517,18.80%,142,22.46835443,20.20%,195,26.06951872,19.80%
]10-20],19,16.37931034,5.60%,138,21.83544304,33.40%,157,20.98930481,25.30%
20-30],11,9.482758621,3.30%,121,19.14556962,21.10%,132,17.64705882,15.90%
]30-40],14,12.06896552,7.50%,58,9.17721519,9.90%,72,9.625668449,9.20%
]40-50],5,4.310344828,8.30%,39,6.170886076,3.80%,44,5.882352941,5.10%
]50-60],8,6.896551724,56%,18,2.848101266,2.80%,26,3.475935829,18.30%
]60-70],1,0.8620689655,0.20%,15,2.373417722,0.60%,16,2.139037433,0.50%
]70-80],1,0.8620689655,0%,13,2.056962025,1.90%,14,1.871657754,1.30%
]80-90],1,0.8620689655,0%,14,2.215189873,2%,15,2.005347594,1.40%
]90-100],3,2.586206897,0.30%,74,11.70886076,4.20%,77,10.29411765,3.10%
Total,116,100,100.00%,632,100,99.90%,748,100,99.90%
