Fase de Investimento,N.. Transacoes SCR, =+/- Valia (10^3 Euro) SCR,% SCR,N.. Transacoes FCR, =+/- Valia (10^3 Euro) FCR,% FCR,N.. Transacoes Total, =+/- Valia (10^3 Euro) Total,% Total
Seed capital,2,-264.5,-2.744943389,18,-1298.3,2.769960764,20,-1562.8,4.197148904
Start-up,23,-4718,-48.96273311,73,-15953.7,34.03768239,96,-20671.7,55.51715062
Early-stage,3,-2.3,-0.02386907295,11,3075.1,-6.560815179,14,3072.8,-8.252494978
Expansao,13,-1705.1,-17.69528534,90,-18733.8,39.9691065,103,-20438.9,54.89192906
Capital de substituicao,4,-222.7,-2.311148933,7,862.8,-1.840808864,11,640.1,-1.719090743
Turnaround,1,-1.4,-0.01452900092,20,-5577.9,11.90061168,21,-5579.3,14.98410089
Refin. da divida bancaria,0,0,0,3,-605.3,1.291425133,3,-605.3,1.625629787
Management buyout,3,0,0,12,4366.4,-9.31584124,15,4366.4,-11.7266643
Management buyin,2,16549.9,171.7525088,3,-149.5,0.3189625928,5,16400.4,-44.04589255
Outros,6,0,0,16,-12856.5,27.42971622,22,-12856.5,34.52818331
Total,57,9635.9,100,253,-46870.7,100,310,-37234.8,100
