Metodologia de Valorizacao,SCR,FCR,Total
Valor de aquisicao,0,0,0
Preco de mercado,0,-17220.8,-17220.8
Transacoes relevantes,0,3221.4,3221.4
Multiplos,1171.8,-128545.2,-127373.4
Fluxos de caixa descontados (DCF),-285826.7,-410655.8,-696482.5
NAV,-18455,-72200.2,-90655.2
Valor de aquisicao (fator de desconto),0,0,0
Preco de mercado (fator de desconto),0,121,121
Transaccoes relevantes (fator de desconto),0,0,0
Multiplos (fator de desconto),3978.9,62771.9,66750.8
Fluxos de caixa descontados (DCF) (fator de desconto),-7.3,-48088.6,-48095.9
NAV (fator de desconto),0,0,0
Total,-299138.3,-610596.3,-909734.6
