Valor Participacao (€),N. Obs,% Total,Valor Total,% Total
0,239,31.78191489,0.00,0.00
]0-100.000[,147,19.54787234,"3,959,387.98",0.34
[100.000-500.000[,128,17.0212766,"34,713,605.46",2.95
[500.000-1.000.000[,78,10.37234043,"54,393,057.16",4.63
[1.000.000-5.000.000[,117,15.55851064,"282,821,303.88",24.07
[5.000.000-10.000.000[,17,2.260638298,"124,396,444.77",10.59
[10.000.000-20.000.000[,17,2.260638298,"229,538,769.03",19.53
[20.000.000-100.000.000[,8,1.063829787,"274,439,533.78",23.35
> 100.000.000,1,0.1329787234,"170,950,000.00",14.55
Total,752,100,"1,175,212,102.06",100.00
